Iteration,Epsilon,Delta,Dynamic_Noise_Multiplier,Mean_Performance,Seed
216,20.0,0.0001,32.920329570770264,0.7117641409776241,43
217,20.0,0.0001,32.920329570770264,0.6463351099587054,43
218,10.0,0.1,32.920329570770264,0.6677200374531834,43
219,10.0,0.1,32.920329570770264,0.47580848458657443,43
220,10.0,0.1,32.920329570770264,0.6803586862575627,43
221,10.0,0.1,32.920329570770264,0.6519041702679343,43
222,10.0,0.01,32.920329570770264,0.6872764213002978,43
223,10.0,0.01,32.920329570770264,0.6070143690579084,43
224,10.0,0.01,32.920329570770264,0.7465355805243445,43
225,10.0,0.01,32.920329570770264,0.7382334581772785,43
226,10.0,0.001,32.920329570770264,0.678849455008163,43
227,10.0,0.001,32.920329570770264,0.6405751824642274,43
228,10.0,0.001,32.920329570770264,0.7361723326610967,43
229,10.0,0.001,32.920329570770264,0.6548244982233746,43
230,10.0,0.0001,32.920329570770264,0.6542455944492461,43
231,10.0,0.0001,32.920329570770264,0.6011650100835494,43
232,10.0,0.0001,32.920329570770264,0.6690738139825219,43
233,10.0,0.0001,32.920329570770264,0.6543080164217805,43
234,5.0,0.1,32.920329570770264,0.5364484298473062,43
235,5.0,0.1,32.920329570770264,0.6413890689522712,43
236,5.0,0.1,32.920329570770264,0.6631266205704408,43
237,5.0,0.1,32.920329570770264,0.6005419907807549,43
238,5.0,0.01,32.920329570770264,0.6464734586574474,43
239,5.0,0.01,32.920329570770264,0.5736810357245751,43
240,5.0,0.01,32.920329570770264,0.4419403630077787,43
241,5.0,0.01,32.920329570770264,0.7171153245942572,43
242,5.0,0.001,32.920329570770264,0.7205962498799579,43
243,5.0,0.001,32.920329570770264,0.6440915202151157,43
244,5.0,0.001,32.920329570770264,0.6623433448573898,43
245,5.0,0.001,32.920329570770264,0.6774248535484491,43
246,5.0,0.0001,32.920329570770264,0.709730024968789,43
247,5.0,0.0001,32.920329570770264,0.7207345985786997,43
248,5.0,0.0001,32.920329570770264,0.7434462930951695,43
249,5.0,0.0001,32.920329570770264,0.6513741837126669,43
250,1.0,0.1,32.920329570770264,0.6371113631998464,43
251,1.0,0.1,32.920329570770264,0.6028699102083933,43
252,1.0,0.1,32.920329570770264,0.5775181864016133,43
253,1.0,0.1,32.920329570770264,0.6952847402285605,43
254,1.0,0.01,32.920329570770264,0.6757064486699318,43
255,1.0,0.01,32.920329570770264,0.709360294823778,43
256,1.0,0.01,32.920329570770264,0.6733380149812734,43
257,1.0,0.01,32.920329570770264,0.6504573609910689,43
258,1.0,0.001,32.920329570770264,0.5378277153558052,43
259,1.0,0.001,32.920329570770264,0.6492776457312974,43
260,1.0,0.001,32.920329570770264,0.6607581868817824,43
261,1.0,0.001,32.920329570770264,0.700003301162009,43
262,1.0,0.0001,32.920329570770264,0.6587594833381349,43
263,1.0,0.0001,32.920329570770264,0.6691362359550562,43
264,1.0,0.0001,32.920329570770264,0.6899740708729473,43
265,1.0,0.0001,32.920329570770264,0.6723233578219533,43
266,0.1,0.1,32.920329570770264,0.6780478728512437,43
267,0.1,0.1,32.920329570770264,0.6646712642850283,43
268,0.1,0.1,32.920329570770264,0.6179076034764237,43
269,0.1,0.1,32.920329570770264,0.7232716916354556,43
270,0.1,0.01,32.920329570770264,0.6222831436665706,43
271,0.1,0.01,32.920329570770264,0.5990903798136944,43
272,0.1,0.01,32.920329570770264,0.6517439138576778,43
273,0.1,0.01,32.920329570770264,0.6155610774992797,43
274,0.1,0.001,32.920329570770264,0.6993532723518678,43
275,0.1,0.001,32.920329570770264,0.6535601531739172,43
276,0.1,0.001,32.920329570770264,0.6020866344953424,43
277,0.1,0.001,32.920329570770264,0.7136208945548833,43
278,0.1,0.0001,32.920329570770264,0.6127166762700471,43
279,0.1,0.0001,32.920329570770264,0.7025587006626333,43
280,0.1,0.0001,32.920329570770264,0.6486900388936906,43
281,0.1,0.0001,32.920329570770264,0.677612119466052,43
282,50.0,0.1,32.920329570770264,0.7141190699126092,43
283,50.0,0.1,32.920329570770264,0.6077217180447517,43
284,50.0,0.1,32.920329570770264,0.7254798689138576,43
285,50.0,0.1,32.920329570770264,0.600126944684529,43
286,50.0,0.01,32.920329570770264,0.6988415922404687,43
287,50.0,0.01,32.920329570770264,0.692217660616537,43
288,50.0,0.01,32.920329570770264,0.6559504945740899,43
289,50.0,0.01,32.920329570770264,0.6516592840679919,43
290,50.0,0.001,32.920329570770264,0.5482752929031018,43
291,50.0,0.001,32.920329570770264,0.7403116897147797,43
292,150.0,0.00,32.920329570770264,0.601004753673293,43
293,50.0,0.001,32.920329570770264,0.6872986291174494,43
294,50.0,0.0001,32.920329570770264,0.6337552818592145,43
295,50.0,0.0001,32.920329570770264,0.648067019590896,43
296,50.0,0.0001,32.920329570770264,0.7306167771055412,43
297,50.0,0.0001,32.920329570770264,0.653916378565255,43
298,30.0,0.1,32.920329570770264,0.6359718620954575,43
299,30.0,0.1,32.920329570770264,0.6827001104388745,43
300,30.0,0.1,32.920329570770264,0.7031463075002401,43
301,30.0,0.1,32.920329570770264,0.7093737995774512,43
302,30.0,0.01,32.920329570770264,0.6509114208201286,43
303,30.0,0.01,32.920329570770264,0.7164739988475943,43
304,30.0,0.01,32.920329570770264,0.6546237275520983,43
305,30.0,0.01,32.920329570770264,0.7521535580524344,43
306,30.0,0.001,32.920329570770264,0.5007553658887929,43
307,30.0,0.001,32.920329570770264,0.5065861183136464,43
308,30.0,0.001,32.920329570770264,0.5885668755401902,43
309,30.0,0.001,32.920329570770264,0.666175393738596,43
310,30.0,0.0001,32.920329570770264,0.7229376740612696,43
311,30.0,0.0001,32.920329570770264,0.7201911072697589,43
312,30.0,0.0001,32.920329570770264,0.6397465907999615,43
313,30.0,0.0001,32.920329570770264,0.6511073898012101,43
314,20.0,0.1,32.920329570770264,0.6722255233842312,43
315,20.0,0.1,32.920329570770264,0.7471721045808124,43
