perf,epsilon,delta,seed
0.6894930015365409,"(30.0, 0.0001, 0.0012566027541955312)",0.0001,42
0.6842801666186498,"(20.0, 0.1, 0.0024984188377857207)",0.1,42
0.6950485570920965,"(20.0, 0.1, 0.002648457884788513)",0.1,42
0.6870891553826947,"(20.0, 0.1, 0.0013391545042395591)",0.1,42
0.6870891553826947,"(20.0, 0.1, 0.0016026441007852554)",0.1,42
0.6842801666186498,"(20.0, 0.01, 0.0028992127627134323)",0.01,42
0.6842801666186498,"(20.0, 0.01, 0.0028040863573551176)",0.01,42
0.6846853092288485,"(20.0, 0.01, 0.0013368181884288789)",0.01,42
0.6870891553826947,"(20.0, 0.01, 0.0019735993817448618)",0.01,42
0.6846853092288485,"(20.0, 0.001, 0.003078675642609596)",0.001,42
0.6926447109382502,"(20.0, 0.001, 0.003277741000056267)",0.001,42
0.6842801666186498,"(20.0, 0.001, 0.001489447057247162)",0.001,42
0.6842801666186498,"(20.0, 0.001, 0.0022477488964796066)",0.001,42
0.6846853092288485,"(20.0, 0.0001, 0.0032945912331342696)",0.0001,42
0.6870891553826947,"(20.0, 0.0001, 0.0032016299664974213)",0.0001,42
0.6842801666186498,"(20.0, 0.0001, 0.0018549751490354537)",0.0001,42
0.6870891553826947,"(20.0, 0.0001, 0.002324606105685234)",0.0001,42
0.6846853092288485,"(10.0, 0.1, 0.006232614442706108)",0.1,42
0.6870891553826947,"(10.0, 0.1, 0.007118380814790726)",0.1,42
0.6842801666186498,"(10.0, 0.1, 0.0032539606094360352)",0.1,42
0.6846853092288485,"(10.0, 0.1, 0.004579532518982887)",0.1,42
0.6870891553826947,"(10.0, 0.01, 0.008008835464715957)",0.01,42
0.6894930015365409,"(10.0, 0.01, 0.008617070317268372)",0.01,42
0.6846853092288485,"(10.0, 0.01, 0.0037535421550273897)",0.01,42
0.690240864784404,"(10.0, 0.01, 0.0056718170642852785)",0.01,42
0.6842801666186498,"(10.0, 0.001, 0.008859537541866302)",0.001,42
0.6870891553826947,"(10.0, 0.001, 0.009912054240703582)",0.001,42
